"","Sample.ID","Longitude","Latitude","Elevation","Biome","Biome.Detail","Sample.Type","Location","Year.of.Sampling","Month.of.Sampling","pH","Dominant.Plants"
"179","GF03008026S",-119.522,47.8355,698,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.6,"Triticum aestivum"
"180","GF03008027S",-119.757,47.9514,791,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.6,"Brassica napus"
"181","GF03008003S",-118.502,47.9046,506,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",6.5,"Triticum aestivum"
"182","GF01012533S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"183","GF05021462S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"184","GF03004819S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","root","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"185","GF05021479S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"186","GF03004830S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"July",6.5,"Camassia quamash"
"187","GF03004827S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"188","GF03004823S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"July",6.5,"Camassia quamash"
"189","GF03004790S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"190","GF03004831S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"July",6.5,"Camassia quamash"
"191","GF03004833S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"192","GF03008010S",-119.755,47.958,800,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.5,"Triticum aestivum"
"193","GF01012535S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"194","GF01012536S",-117.179,46.785,773,"cropland","cropland biome","soil","USA",2013,"NA_",6.2,"Triticum aestivum"
"195","GF03008013S",-118.499,47.9082,519,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",6.6,"Brassica napus"
"196","GF01012538S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"197","GF05021503S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"198","GF01012539S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"199","GF01012534S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"200","GF05021474S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"201","GF03008030S",-119.763,48.0013,861,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.4,"Brassica napus"
"202","GF01012509S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"203","GF01012540S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"204","GF03008029S",-118.48,47.8373,746,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",6.6,"Brassica napus"
"205","GF01012541S",-117.179,46.785,773,"cropland","cropland biome","soil","USA",2013,"NA_",6.2,"Triticum aestivum"
"206","GF03008032S",-118.406,46.9102,528,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",7.2,"Brassica napus"
"207","GF05021450S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"208","GF05021444S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"209","GF03008008S",-118.48,47.8407,735,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",6.8,"Triticum aestivum"
"210","GF05021457S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"211","GF05021460S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"212","GF03008031S",-119.755,47.958,800,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.5,"Triticum aestivum"
"213","GF05021455S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"214","GF01012545S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"215","GF01012513S",-117.179,46.785,773,"cropland","cropland biome","soil","USA",2013,"NA_",6.2,"Triticum aestivum"
"216","GF03008028S",-118.406,46.9102,528,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",7.2,"Brassica napus"
"217","GF01012547S",-117.179,46.785,773,"cropland","cropland biome","soil","USA",2013,"NA_",6.2,"Triticum aestivum"
"218","GF01012548S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"219","GF03004852S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","soil","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"220","GF05021442S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"221","GF03004854S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"222","GF05021453S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"223","GF05021489S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"224","GF03004856S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"225","GF05021470S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"226","GF05021493S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"227","GF01012552S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"228","GF05021443S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"229","GF05021452S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"230","GF01012550S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"231","GF05021448S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"232","GF05021480S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"233","GF05021484S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"234","GF05021478S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"235","GF05021486S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"236","GF01012551S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"237","GF05021464S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"238","GF05021437S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"239","GF05021439S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"240","GF05021447S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"241","GF05021498S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"242","GF05021445S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"243","GF05021494S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"244","GF03004867S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","root","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"245","GF05021485S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"246","GF05021504S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"247","GF05021488S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"248","GF05021465S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"249","GF05021483S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"250","GF03004868S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"251","GF05021466S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"252","GF05021472S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"253","GF05021468S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"254","GF05021482S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"255","GF05021469S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"256","GF05021467S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"257","GF05021496S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"258","GF05021435S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"259","GF05021492S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"260","GF05021458S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"261","GF05021481S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"262","GF05021454S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"263","GF05021490S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"264","GF05021500S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"265","GF05021499S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"266","GF05021487S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"267","GF05021446S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"268","GF05021476S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"269","GF05021438S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"270","GF05021459S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"271","GF05021463S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"272","GF05021441S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"273","GF05021451S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"274","GF05021440S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"275","GF05021461S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"276","GF05021456S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"277","GF05021501S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"278","GF03004877S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"279","GF01012553S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"280","GF05021436S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"281","GF05017303S",-121.807,47.5302,128,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"282","GF03004879S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"283","GF05017306S",-121.807,47.5302,128,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"284","GF05017248S",-118.17,48.8226,416,"woodland","woodland biome","shoot","Washington",2013,"October",6.4,"Populus trichocarpa"
"285","GF05017229S",-122.898,47.686,3,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"286","GF05017186S",-122.153,47.0984,93,"woodland","woodland biome","shoot","Washington",2013,"October",5.5,"Populus trichocarpa"
"287","GF05017300S",-121.901,48.5115,35,"woodland","woodland biome","shoot","Washington",2013,"October",5.6,"Populus trichocarpa"
"288","GF05017226S",-122.898,47.686,3,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"289","GF05017296S",-121.901,48.5115,35,"woodland","woodland biome","shoot","Washington",2013,"October",5.6,"Populus trichocarpa"
"290","GF05017311S",-121.807,47.5302,128,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"291","GF01012815S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"292","GF05017355S",-120.51,46.919,434,"woodland","woodland biome","shoot","Washington",2013,"October",7,"Populus trichocarpa"
"293","GF05017328S",-121.04,46.673,743,"woodland","woodland biome","shoot","Washington",2013,"October",6,"Populus trichocarpa"
"294","GF05017293S",-121.901,48.5115,35,"woodland","woodland biome","shoot","Washington",2013,"October",5.6,"Populus trichocarpa"
"295","GF05017218S",-122.898,47.686,3,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"296","GF05017225S",-122.898,47.686,3,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"297","GF05017292S",-121.901,48.5115,35,"woodland","woodland biome","shoot","Washington",2013,"October",5.6,"Populus trichocarpa"
"298","GF05017310S",-121.807,47.5302,128,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"299","GF05017308S",-121.807,47.5302,128,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"300","GF05017273S",-122.316,46.8481,235,"woodland","woodland biome","shoot","Washington",2013,"October",5.2,"Populus trichocarpa"
"301","GF05017195S",-122.153,47.0984,93,"woodland","woodland biome","shoot","Washington",2013,"October",5.5,"Populus trichocarpa"
"302","GF05017250S",-118.17,48.8226,416,"woodland","woodland biome","shoot","Washington",2013,"October",6.4,"Populus trichocarpa"
"303","GF05017217S",-122.898,47.686,3,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"304","GF05017231S",-122.898,47.686,3,"woodland","woodland biome","shoot","Washington",2013,"October",5.4,"Populus trichocarpa"
"305","GF05017284S",-122.316,46.8481,235,"woodland","woodland biome","shoot","Washington",2013,"October",5.2,"Populus trichocarpa"
"306","GF05017298S",-121.901,48.5115,35,"woodland","woodland biome","shoot","Washington",2013,"October",5.6,"Populus trichocarpa"
